MaterialID,MTitle,MShared,MaterialType,MDCGSID_ENname
101880,Meeting for the first time,Share,Adult,"Culture, History, and Religion/**/People and Relationships/**/Careers and Jobs/**/History & Culture/**/Management/**/Everyday Language"
102007,Alligator Attack,Share,Adult,Plants and Animal
102774,Calling Nancy,Share,Adult,Management/**/Careers and Jobs
102850,Conversation Lesson: School,Adult and Non-share,Adult,"Training, Education and School"
102863,Jack's Roommate,Share,Adult,"Housing, Home, and Community/**/People and Relationships/**/Housing, Home and Community/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
102902,A CAT WITH DIAMONDS,Adult and Non-share,Adult,Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language
103011,Describing Graphs,Adult and Non-share,Adult,"Careers and Jobs/**/Science, Technology, and Computers/**/Business, Industry and Finance/**/Everyday Language"
103022,Parking in the City,Share,Adult,Fun/Interesting stuff
103023,Three Musical Cities,Share,Adult,"Travel and Transportation/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Art & Entertainment/**/Arts and Entertainment"
103055,Two Men and a Destiny,Adult and Non-share,Adult,"People and Relationships/**/Science, Technology, and Computers/**/Business, Industry and Finance"
103099,Using Computers,Adult and Non-share,Adult,"Training, Education and School/**/Careers and Jobs/**/Science, Technology, and Computers/**/Everyday Language"
103116,Body Idioms,Adult and Non-share,Adult,Fun/Interesting stuff/**/People and Relationships/**/Careers and Jobs/**/Everyday Language
103191,T'ai Chi can improve your Life,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Sports and Recreation"
103215,Expressions With Get,Adult and Non-share,Adult,"Culture, History, and Religion/**/History & Culture"
103260,Canoe trip,Share,Adult,Sport/**/Travel and Transportation/**/Sports and Recreation
103266,"Nouns, Singular and Plural",Adult and Non-share,Adult,Everyday Language
103294,Your Vehicle and You,Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
103301,Where Would you like to Go?,Adult and Non-share,Adult,"Fun/Interesting stuff/**/Travel and Transportation/**/Culture, History, and Religion/**/History & Culture"
103327,They Are Busy,Adult and Non-share,Adult,Everyday Language
103337,Transport and Travel,Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
103381,Flying Blind,Adult and Non-share,Adult,Fun/Interesting stuff/**/Travel and Transportation
103397,Alphabet Soup,Adult and Non-share,Adult,"Training, Education and School"
103413,Just in Case,Share,Adult,Fun/Interesting stuff/**/Everyday Language
103418,The Earth - Basic Geography,Adult and Non-share,Adult,Geography and Weather
103473,Exploring the Unknown!,Adult and Non-share,Adult,"Training, Education and School/**/Science, Technology, and Computers/**/Everyday Language"
103512,Beginner Grammar Series 6 - Present Continuous,Share,Adult,Everyday Language
103537,Beginner Grammar Series - Present Simple Questions: Do you? Does she?,Share,Adult,Everyday Language
103588,Beginner Grammar Series 11 - Talking About the Past with Regular and Irregular Past Simple Verbs,Share,Adult,Everyday Language
103598,Making Hotel Reservations,Share,Adult,Travel and Transportation/**/Everyday Language
103599,Flights: Going on a business trip?,Adult and Non-share,Adult,"Travel and Transportation/**/Business, Industry and Finance/**/People and Relationships/**/Careers and Jobs/**/TOEIC/**/Everyday Language"
103605,"Grammar: for, during and while...",Adult and Non-share,Adult,Everyday Language
103607,Reading Comprehension: Saving Money,Share,Adult,Money Management/**/Everyday Language
103631,Calvin in the Kitchen,Adult and Non-share,Adult,Everyday Language/**/Food and Cooking
103651,What are you doing? (Headhunting),Share,Adult,Management/**/Careers and Jobs
103658,Telephone: Appointments,Share,Adult,"Careers and Jobs/**/TOEIC/**/Business, Industry and Finance/**/Everyday Language"
103660,American Business Dinner Manners,Adult and Non-share,Adult,"Business, Industry and Finance/**/TOEIC/**/Food and Cooking"
103705,How to handle angry customers,Adult and Non-share,Adult,"Management/**/People and Relationships/**/Business, Industry and Finance/**/TOEIC"
103732,"Dialogue: Check, please.",Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
103761,Business English Series - Business at a Restaurant,Share,Adult,"Fun/Interesting stuff/**/Careers and Jobs/**/Business, Industry and Finance"
103789,Business English Series - Voicemail Basics,Share,Adult,"Careers and Jobs/**/Business, Industry and Finance"
103813,Reading Biography: Sir Richard Branson,Share,Adult,"People and Relationships/**/Business, Industry and Finance"
103824,Formal vs. Casual ,Share,Adult,People and Relationships/**/Shopping and Style/**/Careers and Jobs/**/Fashion/**/Everyday Language
103847,Vocabulary in Use: Vacations,Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
103898,Vocabulary: Book Choices,Adult and Non-share,Adult,Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
103959,Discussion Questions: Art and Drawing,Adult and Non-share,Adult,Art & Entertainment/**/Arts and Entertainment
104136,Intermediate Vocabulary Expansion: Powerful Prefixes,Share,Adult,Everyday Language
104184,Intermediate Vocabulary Expansion: Common Office Expressions,Share,Adult,Fun/Interesting stuff/**/Everyday Language
104283,Wedding Superstitions,Adult and Non-share,Adult,"Culture, History, and Religion/**/People and Relationships/**/History & Culture/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment"
104316,Women at work,Share,Adult,"People and Relationships/**/Careers and Jobs/**/Business, Industry and Finance"
104330,Casual Slang,Share,Adult,Fun/Interesting stuff/**/Everyday Language
104396,A Blessing In Disguise,Share,Adult,Fun/Interesting stuff/**/People and Relationships
104632,Phrasal Verbs - weather,Share,Adult,Geography and Weather/**/Everyday Language
104801,Hotel reservation: Before going to the hotel,Share,Adult,Fun/Interesting stuff/**/Travel and Transportation/**/Everyday Language
104840,Venice,Adult and Non-share,Adult,"Travel and Transportation/**/Culture, History, and Religion/**/Shopping and Style/**/Geography and Weather/**/Fashion/**/History & Culture/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Art & Entertainment/**/Arts and Entertainment"
104903,Top Dirtiest Well Paying Jobs,Adult and Non-share,Adult,"Management/**/Business, Industry and Finance/**/People and Relationships/**/Careers and Jobs/**/TOEIC/**/Fun/Interesting stuff/**/Everyday Language"
104961,Pronunciation Series - Common Pronunciation Errors ,Share,Adult,Everyday Language
105014,Common Grammar Mistakes (Punctuation),Share,Adult,"Training, Education and School/**/Everyday Language"
105044,Phrasal Verbs - Being busy at work,Adult and Non-share,Adult,"Business, Industry and Finance/**/Training, Education and School/**/People and Relationships/**/Careers and Jobs/**/Fun/Interesting stuff/**/Everyday Language"
105071,[Useful tips]Live a SOHO life,Adult and Non-share,Adult,"Management/**/Housing, Home, and Community/**/Business, Industry and Finance/**/Science, Technology, and Computers/**/Careers and Jobs/**/Housing, Home and Community/**/Fun/Interesting stuff/**/Everyday Language"
105091,"Phrasal Verbs - money : salaries, bills, payments",Adult and Non-share,Adult,"Fashion/**/Shopping and Style/**/Business, Industry and Finance/**/Everyday Language"
105101,Grammar Special Session - Talking about the past,Share,Adult,"Training, Education and School/**/Everyday Language"
105117,Everyday Language - Extreme Sports,Share,Adult,Sport/**/Sports and Recreation
105164,Business English Series - Maintain Your Health While Traveling,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Travel and Transportation/**/Business, Industry and Finance"
105206,[Useful tips] How to avoid identity theft,Adult and Non-share,Adult,"People and Relationships/**/Business, Industry and Finance/**/Everyday Language"
105228,Graffiti - Art or Vandalism,Share,Adult,"Culture, History, and Religion/**/History & Culture/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment"
105236,How to start a conversation when you have nothing to talk about,Share,Adult,"Business, Industry and Finance/**/Training, Education and School/**/People and Relationships/**/Management/**/Everyday Language"
105254,Difference in Body Language - Part I: In the Business World ,Share,Adult,"Management/**/People and Relationships/**/Careers and Jobs/**/Business, Industry and Finance"
105279,What car do you want to drive?,Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
105280,Do you want to go with me?,Share,Adult,People and Relationships/**/Sport/**/Everyday Language/**/Sports and Recreation
105286,Which one do you want?,Share,Adult,Fashion/**/Shopping and Style/**/Everyday Language
105305,Travel Emergencies ~ air travel,Share,Adult,Travel and Transportation
105350,Making Dinner,Share,Adult,People and Relationships/**/Everyday Language/**/Food and Cooking
105382,What can you see in the supermarket?,Share,Adult,Fashion/**/Shopping and Style/**/Everyday Language/**/Food and Cooking
105410,Loneliness,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Housing, Home, and Community/**/People and Relationships/**/Housing, Home and Community"
105451,Special Session - Online communication,Share,Adult,"Management/**/Careers and Jobs/**/Business, Industry and Finance"
105518,Renting an apartment,Adult and Non-share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Training, Education and School/**/People and Relationships/**/Housing, Home and Community/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
105528,How to deal with culture shock,Share,Adult,"Travel and Transportation/**/Culture, History, and Religion/**/People and Relationships/**/History & Culture/**/Countries, Cities, and Towns/**/Countries, Cities and Towns"
105549,What you need to know before you travel!,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Travel and Transportation/**/TOEIC/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
105643,Modal Verbs: Common Uses for Daily Life  ,Share,Adult,"Training, Education and School/**/Everyday Language"
105688,Special Session: Advanced Resume Writing,Share,Adult,"Careers and Jobs/**/Business, Industry and Finance/**/Everyday Language"
105717,Don't Let Friendly Fraud Ruin Your Business,Adult and Non-share,Adult,"Management/**/Business, Industry and Finance/**/Shopping and Style/**/Fashion/**/TOEIC/**/Fun/Interesting stuff"
105783,"Food, Health, and Lifestyle - Ch.2 Are you exercising well?",Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine"
105803,Daily Spoken English - Colloquial American terms,Share,Adult,Fun/Interesting stuff/**/Everyday Language
105804,Work Ethic,Adult and Non-share,Adult,"Management/**/People and Relationships/**/Careers and Jobs/**/Business, Industry and Finance"
105909,20 Most Commonly Asked Interview Questions Part II,Share,Adult,"Management/**/Careers and Jobs/**/Business, Industry and Finance"
105987,Special Session: Vocabulary quizzes,Share,Adult,"Fun/Interesting stuff/**/Training, Education and School/**/Art & Entertainment/**/Arts and Entertainment"
105993,SOCIAL NETWORKING WEBSITES,Adult and Non-share,Adult,"Sport/**/People and Relationships/**/Science, Technology, and Computers/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment/**/Sports and Recreation"
106031,Outdoor Adventures,Share,Adult,Sport/**/Plants and Animal/**/Everyday Language/**/Sports and Recreation
106043,Simple Mathematics,Share,Adult,Everyday Language
106077,Extremely bizarre medical treatments,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Culture, History, and Religion/**/History & Culture/**/Fun/Interesting stuff"
106106,Generation Gap,Share,Adult,"Housing, Home, and Community/**/Culture, History, and Religion/**/Training, Education and School/**/People and Relationships/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff/**/Everyday Language"
106109,Special Session: Challenge Your Vocabulary,Share,Adult,"Training, Education and School"
106235,Explore the power of color psychology in business,Share,Adult,"Fun/Interesting stuff/**/People and Relationships/**/Science, Technology, and Computers/**/Business, Industry and Finance"
106309,Special Session - Pricing Methods,Share,Adult,"Management/**/Fashion/**/Business, Industry and Finance/**/Shopping and Style"
106351,Conversations About: Communication ,Share,Adult,"Training, Education and School/**/Everyday Language"
106377,A debate on men's makeup,Adult and Non-share,Adult,Fun/Interesting stuff/**/Fashion/**/Shopping and Style/**/People and Relationships
106383,Dealing with coworkers that drive you nuts,Adult and Non-share,Adult,Management/**/People and Relationships/**/Careers and Jobs/**/Fun/Interesting stuff/**/Everyday Language
106394,Socializing Etiquette,Share,Adult,"Management/**/Culture, History, and Religion/**/Business, Industry and Finance/**/People and Relationships/**/History & Culture/**/Fun/Interesting stuff"
106418,Hitchhiking,Share,Adult,Fun/Interesting stuff/**/Travel and Transportation
106452,Are teenagers becoming too materialistic?,Adult and Non-share,Adult,"Culture, History, and Religion/**/Housing, Home, and Community/**/People and Relationships/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff"
106487,Homeschooling and Unschooling,Adult and Non-share,Adult,"Culture, History, and Religion/**/Housing, Home, and Community/**/Training, Education and School/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff"
106512,Understanding conversations: Looking for a new job,Adult and Non-share,Adult,"People and Relationships/**/Careers and Jobs/**/Business, Industry and Finance/**/TOEIC"
106515,Reading Boot Camp - A Postcard From America,Share,Adult,Everyday Language
106580,Conversation About: Traffic,Share,Adult,Travel and Transportation/**/Everyday Language
106618,Conversation About: Meeting New People,Share,Adult,People and Relationships/**/Everyday Language
106648,Emphatic Expressions! Money Makes the World Go 'Round!,Share,Adult,"Fashion/**/Shopping and Style/**/Business, Industry and Finance/**/Everyday Language"
106691,Essential Travel Conversation:  How to Book Travel Lodgings,Share,Adult,Travel and Transportation
106738,Survival English Mission: Refund,Share,Adult,Fashion/**/People and Relationships/**/Shopping and Style
106803,Survival English! Mission: Sweet Talk,Share,Adult,People and Relationships/**/Everyday Language
106855,SPECIAL SESSION! EE: All About Holidays,Share,Adult,"Culture, History, and Religion/**/People and Relationships/**/History & Culture/**/Fun/Interesting stuff/**/Everyday Language"
106883,Colloquial Expressions: The Diner Experience,Share,Adult,"History & Culture/**/Culture, History, and Religion/**/Everyday Language/**/Food and Cooking"
106978,Survival English: Mission Utility Setup,Share,Adult,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
106984,SPECIAL SESSION! Business Mini Series: English for Managers: Good Office Communication,Share,Adult,"Management/**/Business, Industry and Finance"
107008,Know Who Your Friends Are,Adult and Non-share,Adult,Fun/Interesting stuff/**/People and Relationships
107009,Essential Travel Conversations - How To Plan A Perfect Trip,Share,Adult,Travel and Transportation/**/Everyday Language
107121,Essential Travel Conversation: Travel Types & Activities,Share,Adult,Fun/Interesting stuff/**/Travel and Transportation
107234,Special Session: The language of love-part1:Words of affirmation,Share,Adult,Fun/Interesting stuff/**/People and Relationships
107277,Special Session - Conversations About: Culture,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Business, Industry and Finance/**/Culture, History, and Religion/**/Training, Education and School/**/People and Relationships/**/Careers and Jobs/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
107342,Special Session: Food Series- Avoiding Processed Foods,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Housing, Home, and Community/**/Culture, History, and Religion/**/People and Relationships/**/Housing, Home and Community/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language"
107353,Special Session - Conversations About Guy Chat,Share,Adult,"Housing, Home, and Community/**/Culture, History, and Religion/**/People and Relationships/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff/**/Everyday Language"
107368,Special Session: Food Series- Eastern vs Western Food,Share,Adult,"Culture, History, and Religion/**/Housing, Home, and Community/**/Housing, Home and Community/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff"
107386,Special Session: ETC- Relief Work in Times of Need,Share,Adult,"Management/**/Travel and Transportation/**/Housing, Home, and Community/**/Culture, History, and Religion/**/Training, Education and School/**/People and Relationships/**/Geography and Weather/**/Housing, Home and Community/**/Careers and Jobs/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Politics, Government, and Law/**/Everyday Language"
107389,Special Session: Food Series- Weird Food Combinations,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Culture, History, and Religion/**/Training, Education and School/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Everyday Language"
107392,Special Session: ETC- The Advantages of Getting Lost,Share,Adult,Fun/Interesting stuff/**/Travel and Transportation/**/Everyday Language
107415,轉職逆轉勝！Wesley教你職場必勝心理學【講座】,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
107432,Special Session: ETC- Hidden Travel Gems,Share,Adult,"Culture, History, and Religion/**/Travel and Transportation/**/Geography and Weather/**/History & Culture/**/Fun/Interesting stuff/**/Everyday Language"
107441,Special Session: ETC- Bike Tours,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Travel and Transportation/**/Culture, History, and Religion/**/Training, Education and School/**/Geography and Weather/**/History & Culture/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language/**/Sports and Recreation"
107456,Business Negotiations- Part 2,Share,Adult,"Management/**/Health, Fitness and Medicine/**/Health & Medicine/**/Business, Industry and Finance/**/Fun/Interesting stuff/**/Everyday Language"
107480,Special Session: The Geography Guide - Europe,Share,Adult,"Countries, Cities, and Towns/**/Geography and Weather/**/Travel and Transportation/**/Countries, Cities and Towns"
107543,Special Session- Grammar Police: Modifying Absolutes,Share,Adult,"Fun/Interesting stuff/**/Training, Education and School/**/Everyday Language"
107547,Special Session: Essential Travel Conversations: Safari,Share,Adult,"Sport/**/Travel and Transportation/**/Training, Education and School/**/Geography and Weather/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Plants and Animal/**/Everyday Language/**/Sports and Recreation"
107569,Special Session: Grammar Police- The present continuous tense,Share,Adult,"Training, Education and School"
107578,Special Session: Doctor on Call- Dental Hygiene,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Training, Education and School/**/Food and Cooking/**/Fun/Interesting stuff/**/Everyday Language"
107601,Phonics - consonants,Share,Adult,"Training, Education and School/**/Everyday Language"
107604,Special Session: Doctor on Call- Heart Health,Share,Adult,"Fun/Interesting stuff/**/Health, Fitness and Medicine/**/Health & Medicine/**/Training, Education and School"
107708,Special Sessions: Travel Words - Planning A Trip,Share,Adult,Fun/Interesting stuff/**/Travel and Transportation/**/Everyday Language
107808,Massage Menu,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Shopping and Style/**/Fashion/**/Fun/Interesting stuff/**/Everyday Language/**/Sports and Recreation"
107813,It's Over!  Part 1- Love and Relationship Idioms and Phrases,Adult and Non-share,Adult,People and Relationships/**/Everyday Language
107861,Are you Ready for Some Football?,Share,Adult,"Sport/**/Culture, History, and Religion/**/Training, Education and School/**/Everyday Language/**/History & Culture/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment/**/Sports and Recreation"
107920,He Swerved to the Left But It Was Too Late,Adult and Non-share,Adult,"Training, Education and School/**/Everyday Language"
107930,How Important is Breakfast?,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Everyday Language/**/Food and Cooking"
107937,"Mexico- food, fun and fiesta",Share,Adult,"Travel and Transportation/**/Culture, History, and Religion/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
108057,Vertical Adventure: Let's Hit the Slopes!,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Fun/Interesting stuff/**/Everyday Language/**/Sports and Recreation"
108081,Special Session - Travel Words: Nine (Unusual) Places To See Before You Die,Share,Adult,"Sport/**/Travel and Transportation/**/Training, Education and School/**/Fun/Interesting stuff/**/Everyday Language/**/Sports and Recreation"
108091,Worst-Case Scenarios,Adult and Non-share,Adult,Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language
108115,How To Handle Complaints,Adult and Non-share,Adult,"Management/**/Business, Industry and Finance/**/Shopping and Style/**/Fashion/**/TOEIC/**/Fun/Interesting stuff/**/Everyday Language"
108148,Special Session: IELTS Reading - Lesson 2.7 Academic Reading 7,Share,Adult,"Training, Education and School"
108174,Special Session: Top Ten Conflicting English Sayings,Share,Adult,Fun/Interesting stuff/**/Everyday Language
108242,How to keep your cholesterol under control,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Food and Cooking/**/Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language"
108266,Let’s Keep Fit,Adult and Non-share,Adult,"Fun/Interesting stuff/**/Health, Fitness and Medicine/**/Health & Medicine/**/Everyday Language"
108293,Bats in Danger,Share,Adult,Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language
108296,Luciano Pavarotti: Italian Opera Legend ,Share,Adult,People and Relationships/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
108351,Music Therapy,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Training, Education and School/**/Science, Technology, and Computers/**/Fun/Interesting stuff/**/Everyday Language"
108364,Special Session - Travel Words: Asia's 10 Best Street Food Cities,Share,Adult,"Food and Cooking/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
108448,Your Neighborhood,Share,Adult,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
108511,Special Session: Top Ten Meaningful Words,Share,Adult,Everyday Language
108542,Phobias: What Are You Afraid Of?,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/People and Relationships/**/Fun/Interesting stuff/**/Everyday Language"
108543,Special Session: Basic Verbs 18 Syptoms and Injuries,Share,Adult,"Training, Education and School/**/Health, Fitness and Medicine/**/Health & Medicine"
108582,Special Session - Vocabulary Builder: Simple Ways To Live Healthy,Share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Training, Education and School/**/Food and Cooking/**/Fun/Interesting stuff/**/Everyday Language/**/Sports and Recreation"
108625,Basics of Quality Control,Adult and Non-share,Adult,"Business, Industry and Finance/**/Training, Education and School/**/Careers and Jobs/**/TOEIC/**/Management/**/Everyday Language"
108643,Hotels,Adult and Non-share,Adult,Travel and Transportation/**/Everyday Language
108647,Great Dinner Parties,Adult and Non-share,Adult,"Housing, Home, and Community/**/People and Relationships/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language"
108681,Special Session: Everyday English for Everyone - Is it a Noun or a Verb?,Share,Adult,Everyday Language
108708,The World's Most Expensive Coffees,Adult and Non-share,Adult,"Business, Industry and Finance/**/Shopping and Style/**/Geography and Weather/**/Fashion/**/Food and Cooking/**/Fun/Interesting stuff/**/Plants and Animal/**/Everyday Language"
108726,Money Talk,Adult and Non-share,Adult,"Fun/Interesting stuff/**/Business, Industry and Finance/**/Everyday Language"
108760,The Sea,Adult and Non-share,Adult,Sport/**/Geography and Weather/**/Fun/Interesting stuff/**/Everyday Language/**/Sports and Recreation
108771,Virtual Shopping,Adult and Non-share,Adult,"Business, Industry and Finance/**/Shopping and Style/**/Fashion/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
108777,Extreme Living,Adult and Non-share,Adult,"Housing, Home, and Community/**/Business, Industry and Finance/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Fun/Interesting stuff/**/Everyday Language"
108794,Special Session - Travel Words: The World's Best Fresh Markets,Share,Adult,"Culture, History, and Religion/**/Training, Education and School/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Everyday Language"
108802,Amazing facts about the human body,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/People and Relationships/**/Fun/Interesting stuff/**/Everyday Language"
108819,Interview Bloopers,Adult and Non-share,Adult,"Management/**/Business, Industry and Finance/**/Careers and Jobs/**/Fun/Interesting stuff/**/Everyday Language"
108910,Robots: Allies or Enemies?,Share,Adult,"Housing, Home, and Community/**/Culture, History, and Religion/**/Science, Technology, and Computers/**/Careers and Jobs/**/Housing, Home and Community/**/History & Culture/**/Fun/Interesting stuff/**/Everyday Language"
108935,Let's Get Fit,Adult and Non-share,Adult,Sport/**/Everyday Language/**/Sports and Recreation
108949,Setting a Price: How Much Should You Charge for Your Product or Service?,Adult and Non-share,Adult,"Fun/Interesting stuff/**/Management/**/Business, Industry and Finance/**/Everyday Language"
108951,Scandinavia,Adult and Non-share,Adult,"Travel and Transportation/**/Culture, History, and Religion/**/Geography and Weather/**/History & Culture/**/Food and Cooking/**/Fun/Interesting stuff/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
108954,Let's Travel,Share,Adult,Travel and Transportation/**/Everyday Language
